C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\SurfaceOverlay.tsx: line 49, col 3, Warning - 'surfaceKey' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\SurfaceOverlay.tsx: line 99, col 3, Warning - 'isUpper' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\SurfaceOverlay.tsx: line 100, col 3, Warning - 'isMirror' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\toothPaths.ts: line 532, col 11, Warning - 'flat' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\odontogram\toothPaths.ts: line 636, col 9, Warning - 'marginR' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\OcclusalRing.tsx: line 20, col 7, Warning - 'MID_R' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\OcclusalRing.tsx: line 75, col 7, Warning - 'SURFACE_LABEL_POSITIONS' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ProfessionalOdontogram.tsx: line 2, col 15, Warning - 'ToothCondition' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ProfessionalOdontogram.tsx: line 2, col 31, Warning - 'ToothSurface' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ProfessionalOdontogram.tsx: line 4, col 34, Warning - 'ALL_FINDING_NAMES' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ProfessionalOdontogram.tsx: line 223, col 7, Warning - 'SURF_COLOR' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ProfessionalOdontogram.tsx: line 406, col 10, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ProfessionalOdontogram.tsx: line 406, col 27, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\Toolbar.tsx: line 14, col 7, Warning - 'CONDITION_ICONS' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ToothChart.tsx: line 1, col 40, Warning - 'useMemo' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ToothChart.tsx: line 1, col 49, Warning - 'useRef' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ToothChart.tsx: line 1, col 57, Warning - 'useEffect' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ToothChart.tsx: line 5, col 8, Warning - 'ToothSurface' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ToothChart.tsx: line 8, col 3, Warning - 'CONDITION_COLORS' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ToothChart.tsx: line 27, col 3, Warning - 'patientId' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ToothChart.tsx: line 165, col 5, Warning - React Hook useCallback has a missing dependency: 'renderToothColumn'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ToothChart.tsx: line 168, col 33, Warning - 'label' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ToothGrid.tsx: line 1, col 40, Warning - 'useMemo' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\harsh\fastapi-project\frontend\src\components\toothchart\ToothGrid.tsx: line 6, col 8, Warning - 'FindingFormData' is defined but never used. (@typescript-eslint/no-unused-vars)
